"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
ERCO,"1/30/2021 10 a.m. CST",21008,1835,74,20,5090,5616,5119
ERCO,"1/30/2021 11 a.m. CST",21076,2010,109,21,5301,5534,5119
ERCO,"1/30/2021 12 p.m. CST",20694,2263,95,32,5371,5465,5118
ERCO,"1/30/2021 1 p.m. CST",20666,2262,57,19,5355,5258,5117
ERCO,"1/30/2021 2 p.m. CST",19852,1893,50,13,5579,5442,5117
ERCO,"1/30/2021 3 p.m. CST",19479,1572,50,12,5533,5766,5113
ERCO,"1/30/2021 4 p.m. CST",19232,1461,50,10,5638,5959,5113
ERCO,"1/30/2021 5 p.m. CST",18623,1314,50,11,6199,6055,5113
ERCO,"1/30/2021 6 p.m. CST",15728,1155,50,14,8654,6789,5113
ERCO,"1/30/2021 7 p.m. CST",13992,26,50,43,9991,9265,5113
ERCO,"1/30/2021 8 p.m. CST",13568,0,49,17,9991,9506,5113
ERCO,"1/30/2021 9 p.m. CST",13199,0,49,10,9764,9361,5113
ERCO,"1/30/2021 10 p.m. CST",12717,0,49,9,9546,9163,5113
ERCO,"1/30/2021 11 p.m. CST",11801,0,49,8,9124,9298,5113
ERCO,"1/31/2021 12 a.m. CST",11626,0,49,8,8415,8841,5113
ERCO,"1/31/2021 1 a.m. CST",11247,0,72,8,7468,9186,5113
ERCO,"1/31/2021 2 a.m. CST",12625,0,52,5,6421,8623,5113
ERCO,"1/31/2021 3 a.m. CST",13780,0,49,6,6025,7773,5114
ERCO,"1/31/2021 4 a.m. CST",14094,0,49,9,6101,7479,5113
ERCO,"1/31/2021 5 a.m. CST",15272,0,49,7,5907,6608,5113
ERCO,"1/31/2021 6 a.m. CST",15633,0,50,9,6268,6933,5113
ERCO,"1/31/2021 7 a.m. CST",15772,0,73,11,6640,7806,5114
ERCO,"1/31/2021 8 a.m. CST",16262,29,74,10,7029,8412,5114
ERCO,"1/31/2021 9 a.m. CST",15436,1568,74,23,7773,8145,5113
ERCO,"1/31/2021 10 a.m. CST",15023,4043,74,13,7370,7495,5113
ERCO,"1/31/2021 11 a.m. CST",16614,4423,109,17,6767,6296,5113
ERCO,"1/31/2021 12 p.m. CST",15997,4390,94,15,7191,6182,5113
ERCO,"1/31/2021 1 p.m. CST",14609,4284,50,12,7632,6593,5113
ERCO,"1/31/2021 2 p.m. CST",13596,4324,50,9,7849,6632,5113
ERCO,"1/31/2021 3 p.m. CST",13069,4609,50,10,7868,6225,5112
ERCO,"1/31/2021 4 p.m. CST",12295,4772,50,12,8481,5975,5112
ERCO,"1/31/2021 5 p.m. CST",11135,4300,49,9,10431,5842,5112
ERCO,"1/31/2021 6 p.m. CST",8957,1697,50,15,13969,7845,5112
ERCO,"1/31/2021 7 p.m. CST",7296,32,50,42,16980,10347,5113
